"Quick order just made","Быстрый заказ только что сделан"
"Success! Quick order just made.","Успешно! Быстрый заказ только что было сделано"
"Error. Unable to send order.","Ошибка! Немогу послать запрос."
"Phone Number","Телефонный номер"
"Quick order","Быстрый заказ"
"Product data","Даные о продукте"
"Get an answer","Получить ответ"
"Input phone number","Введите номер телефона"
"Do you have a question?","Возникли вопросы?"
"Telephone","Телефон"
"Fill out the form and we will get with you","Заповніть форму і ми з вами зв'яжемося"
"Message was send","Запрос послан"
